# Vg      Vsd      Conductance
0.03030303 2.42424242 0.00000000
0.03030303 2.44949495 0.00000000
0.03030303 2.47474747 0.00000000
0.03030303 2.50000000 0.00000000

0.06060606 0.00000000 0.00006574
0.06060606 0.02525253 0.00012794
0.06060606 0.05050505 0.00018723
0.06060606 0.07575758 0.00021909
0.06060606 0.10101010 0.00023260
0.06060606 0.12626263 0.00023809
0.06060606 0.15151515 0.00024037
0.06060606 0.17676768 0.00024136
0.06060606 0.20202020 0.00024183
0.06060606 0.22727273 0.00024207
0.06060606 0.25252525 0.00024221
0.06060606 0.27777778 0.00024228
0.06060606 0.30303030 0.00024228
0.06060606 0.32828283 0.00024217
0.06060606 0.35353535 0.00024177
0.06060606 0.37878788 0.00024071
0.06060606 0.40404040 0.00023879
0.06060606 0.42929293 0.00023727
0.06060606 0.45454545 0.00023718
0.06060606 0.47979798 0.00023947
0.06060606 0.50505051 0.00024119
0.06060606 0.53030303 0.00024175
0.06060606 0.55555556 0.00024150
0.06060606 0.58080808 0.00024029
0.06060606 0.60606061 0.00023717
0.06060606 0.63131313 0.00023020
0.06060606 0.65656566 0.00021956
0.06060606 0.68181818 0.00021776
0.06060606 0.70707071 0.00022762
0.06060606 0.73232323 0.00023543
0.06060606 0.75757576 0.00023925
0.06060606 0.78282828 0.00024097
0.06060606 0.80808081 0.00024177
0.06060606 0.83333333 0.00024223
0.06060606 0.85858586 0.00024269
0.06060606 0.88383838 0.00024353
0.06060606 0.90909091 0.00024555
0.06060606 0.93434343 0.00025081
0.06060606 0.95959596 0.00026445
0.06060606 0.98484848 0.00029712
0.06060606 1.01010101 0.00035444
0.06060606 1.03535354 0.00041109
0.06060606 1.06060606 0.00044518
0.06060606 1.08585859 0.00046265
0.06060606 1.11111111 0.00047094
0.06060606 1.13636364 0.00047420
0.06060606 1.16161616 0.00047397
0.06060606 1.18686869 0.00047110
0.06060606 1.21212121 0.00047565
0.06060606 1.23737374 0.00050743
0.06060606 1.26262626 0.00056483
0.06060606 1.28787879 0.00062255
0.06060606 1.31313131 0.00064613
0.06060606 1.33838384 0.00062621
0.06060606 1.36363636 0.00058595
0.06060606 1.38888889 0.00055980
0.06060606 1.41414141 0.00050181
0.06060606 1.43939394 0.00033717
0.06060606 1.46464646 0.00015623
0.06060606 1.48989899 0.00006122
0.06060606 1.51515152 0.00002319
0.06060606 1.54040404 0.00000874
0.06060606 1.56565657 0.00000329
0.06060606 1.59090909 0.00000124
0.06060606 1.61616162 0.00000047
0.06060606 1.64141414 0.00000018
0.06060606 1.66666667 0.00000007
0.06060606 1.69191919 0.00000002
0.06060606 1.71717172 0.00000001
0.06060606 1.74242424 0.00000000
0.06060606 1.76767677 0.00000000
0.06060606 1.79292929 0.00000000
0.06060606 1.81818182 0.00000000
0.06060606 1.84343434 0.00000000
0.06060606 1.86868687 0.00000000
0.06060606 1.89393939 0.00000000
0.06060606 1.91919192 0.00000000
0.06060606 1.94444444 0.00000000
0.06060606 1.96969697 0.00000000
0.06060606 1.99494949 0.00000000
0.06060606 2.02020202 0.00000000
0.06060606 2.04545455 0.00000000
0.06060606 2.07070707 0.00000000
0.06060606 2.09595960 0.00000000
0.06060606 2.12121212 0.00000000
0.06060606 2.14646465 0.00000000
0.06060606 2.17171717 0.00000000
0.06060606 2.19696970 0.00000000
0.06060606 2.22222222 0.00000000
0.06060606 2.24747475 0.00000000
0.06060606 2.27272727 0.00000000
0.06060606 2.29797980 0.00000000
0.06060606 2.32323232 0.00000000
0.06060606 2.34848485 0.00000000
0.06060606 2.37373737 0.00000000
0.06060606 2.39898990 0.00000000
0.06060606 2.42424242 0.00000000
0.06060606 2.44949495 0.00000000
0.06060606 2.47474747 0.00000000
0.06060606 2.50000000 0.00000000

0.09090909 0.00000000 0.00014148
0.09090909 0.02525253 0.00019574
0.09090909 0.05050505 0.00022283
0.09090909 0.07575758 0.00023412
0.09090909 0.10101010 0.00023872
0.09090909 0.12626263 0.00024064
0.09090909 0.15151515 0.00024148
0.09090909 0.17676768 0.00024189
0.09090909 0.20202020 0.00024210
0.09090909 0.22727273 0.00024222
0.09090909 0.25252525 0.00024229
0.09090909 0.27777778 0.00024227
0.09090909 0.30303030 0.00024212
0.09090909 0.32828283 0.00024163
0.09090909 0.35353535 0.00024038
0.09090909 0.37878788 0.00023840
0.09090909 0.40404040 0.00023708
0.09090909 0.42929293 0.00023752
0.09090909 0.45454545 0.00023993
0.09090909 0.47979798 0.00024138
0.09090909 0.50505051 0.00024176
0.09090909 0.53030303 0.00024135
0.09090909 0.55555556 0.00023987
0.09090909 0.58080808 0.00023616
0.09090909 0.60606061 0.00022820
0.09090909 0.63131313 0.00021791
0.09090909 0.65656566 0.00021932
0.09090909 0.68181818 0.00022956
0.09090909 0.70707071 0.00023645
0.09090909 0.73232323 0.00023971
0.09090909 0.75757576 0.00024118
0.09090909 0.78282828 0.00024188
0.09090909 0.80808081 0.00024231
0.09090909 0.83333333 0.00024281
0.09090909 0.85858586 0.00024380
0.09090909 0.88383838 0.00024624
0.09090909 0.90909091 0.00025261
0.09090909 0.93434343 0.00026904
0.09090909 0.95959596 0.00030690
0.09090909 0.98484848 0.00036704
0.09090909 1.01010101 0.00041973
0.09090909 1.03535354 0.00044970
0.09090909 1.06060606 0.00046487
0.09090909 1.08585859 0.00047191
0.09090909 1.11111111 0.00047442
0.09090909 1.13636364 0.00047353
0.09090909 1.16161616 0.00047073
0.09090909 1.18686869 0.00047954
0.09090909 1.21212121 0.00051722
0.09090909 1.23737374 0.00057769
0.09090909 1.26262626 0.00063065
0.09090909 1.28787879 0.00064551
0.09090909 1.31313131 0.00061824
0.09090909 1.33838384 0.00057954
0.09090909 1.36363636 0.00055392
0.09090909 1.38888889 0.00047775
0.09090909 1.41414141 0.00029653
0.09090909 1.43939394 0.00013039
0.09090909 1.46464646 0.00005047
0.09090909 1.48989899 0.00001908
0.09090909 1.51515152 0.00000719
0.09090909 1.54040404 0.00000271
0.09090909 1.56565657 0.00000102
0.09090909 1.59090909 0.00000038
0.09090909 1.61616162 0.00000014
0.09090909 1.64141414 0.00000005
0.09090909 1.66666667 0.00000002
0.09090909 1.69191919 0.00000001
0.09090909 1.71717172 0.00000000
0.09090909 1.74242424 0.00000000
0.09090909 1.76767677 0.00000000
0.09090909 1.79292929 0.00000000
0.09090909 1.81818182 0.00000000
0.09090909 1.84343434 0.00000000
0.09090909 1.86868687 0.00000000
0.09090909 1.89393939 0.00000000
0.09090909 1.91919192 0.00000000
0.09090909 1.94444444 0.00000000
0.09090909 1.96969697 0.00000000
0.09090909 1.99494949 0.00000000
0.09090909 2.02020202 0.00000000
0.09090909 2.04545455 0.00000000
0.09090909 2.07070707 0.00000000
0.09090909 2.09595960 0.00000000
0.09090909 2.12121212 0.00000000
0.09090909 2.14646465 0.00000000
0.09090909 2.17171717 0.00000000
0.09090909 2.19696970 0.00000000
0.09090909 2.22222222 0.00000000
0.09090909 2.24747475 0.00000000
0.09090909 2.27272727 0.00000000
0.09090909 2.29797980 0.00000000
0.09090909 2.32323232 0.00000000
0.09090909 2.34848485 0.00000000
0.09090909 2.37373737 0.00000000
0.09090909 2.39898990 0.00000000
0.09090909 2.42424242 0.00000000
0.09090909 2.44949495 0.00000000
0.09090909 2.47474747 0.00000000
0.09090909 2.50000000 0.00000000

0.12121212 0.00000000 0.00020307
0.12121212 0.02525253 0.00022597
0.12121212 0.05050505 0.00023539
