#Vsd      IVsd
2.34834835 0.00027256
2.35135135 0.00027256
2.35435435 0.00027256
2.35735736 0.00027256
2.36036036 0.00027256
2.36336336 0.00027256
2.36636637 0.00027256
2.36936937 0.00027256
2.37237237 0.00027256
2.37537538 0.00027256
2.37837838 0.00027256
2.38138138 0.00027256
2.38438438 0.00027256
2.38738739 0.00027256
2.39039039 0.00027256
2.39339339 0.00027256
2.39639640 0.00027256
2.39939940 0.00027256
2.40240240 0.00027256
2.40540541 0.00027256
2.40840841 0.00027256
2.41141141 0.00027256
2.41441441 0.00027256
2.41741742 0.00027256
2.42042042 0.00027256
2.42342342 0.00027256
2.42642643 0.00027256
2.42942943 0.00027256
2.43243243 0.00027256
2.43543544 0.00027256
2.43843844 0.00027256
2.44144144 0.00027256
2.44444444 0.00027256
2.44744745 0.00027256
2.45045045 0.00027256
2.45345345 0.00027256
2.45645646 0.00027256
2.45945946 0.00027256
2.46246246 0.00027256
2.46546547 0.00027256
2.46846847 0.00027256
2.47147147 0.00027256
2.47447447 0.00027256
2.47747748 0.00027256
2.48048048 0.00027256
2.48348348 0.00027256
2.48648649 0.00027256
2.48948949 0.00027256
2.49249249 0.00027256
2.49549550 0.00027256
2.49849850 0.00027256
2.50150150 0.00027256
2.50450450 0.00027256
2.50750751 0.00027256
2.51051051 0.00027256
2.51351351 0.00027256
2.51651652 0.00027256
2.51951952 0.00027256
2.52252252 0.00027256
2.52552553 0.00027256
2.52852853 0.00027256
2.53153153 0.00027256
2.53453453 0.00027256
2.53753754 0.00027256
2.54054054 0.00027256
2.54354354 0.00027256
2.54654655 0.00027256
2.54954955 0.00027256
2.55255255 0.00027256
2.55555556 0.00027256
2.55855856 0.00027256
2.56156156 0.00027256
2.56456456 0.00027256
2.56756757 0.00027256
2.57057057 0.00027256
2.57357357 0.00027256
2.57657658 0.00027256
2.57957958 0.00027256
2.58258258 0.00027256
2.58558559 0.00027256
2.58858859 0.00027256
2.59159159 0.00027256
2.59459459 0.00027256
2.59759760 0.00027256
2.60060060 0.00027256
2.60360360 0.00027256
2.60660661 0.00027256
2.60960961 0.00027256
2.61261261 0.00027256
2.61561562 0.00027256
2.61861862 0.00027256
2.62162162 0.00027256
2.62462462 0.00027256
2.62762763 0.00027256
2.63063063 0.00027256
2.63363363 0.00027256
2.63663664 0.00027256
2.63963964 0.00027256
2.64264264 0.00027256
2.64564565 0.00027256
2.64864865 0.00027256
2.65165165 0.00027256
2.65465465 0.00027256
2.65765766 0.00027256
2.66066066 0.00027256
2.66366366 0.00027256
2.66666667 0.00027256
2.66966967 0.00027256
2.67267267 0.00027256
2.67567568 0.00027256
2.67867868 0.00027256
2.68168168 0.00027256
2.68468468 0.00027256
2.68768769 0.00027256
2.69069069 0.00027256
2.69369369 0.00027256
2.69669670 0.00027256
2.69969970 0.00027256
2.70270270 0.00027256
2.70570571 0.00027256
2.70870871 0.00027256
2.71171171 0.00027256
2.71471471 0.00027256
2.71771772 0.00027256
2.72072072 0.00027256
2.72372372 0.00027256
2.72672673 0.00027256
2.72972973 0.00027256
2.73273273 0.00027256
2.73573574 0.00027256
2.73873874 0.00027256
2.74174174 0.00027256
2.74474474 0.00027256
2.74774775 0.00027256
2.75075075 0.00027256
2.75375375 0.00027256
2.75675676 0.00027256
2.75975976 0.00027256
2.76276276 0.00027256
2.76576577 0.00027256
2.76876877 0.00027256
2.77177177 0.00027256
2.77477477 0.00027256
2.77777778 0.00027256
2.78078078 0.00027256
2.78378378 0.00027256
2.78678679 0.00027256
2.78978979 0.00027256
2.79279279 0.00027256
2.79579580 0.00027256
2.79879880 0.00027256
2.80180180 0.00027256
2.80480480 0.00027256
2.80780781 0.00027256
2.81081081 0.00027256
2.81381381 0.00027256
2.81681682 0.00027256
2.81981982 0.00027256
2.82282282 0.00027256
2.82582583 0.00027256
2.82882883 0.00027256
2.83183183 0.00027256
2.83483483 0.00027256
2.83783784 0.00027256
2.84084084 0.00027256
2.84384384 0.00027256
2.84684685 0.00027256
2.84984985 0.00027256
2.85285285 0.00027256
2.85585586 0.00027256
2.85885886 0.00027256
2.86186186 0.00027256
2.86486486 0.00027256
2.86786787 0.00027256
2.87087087 0.00027256
2.87387387 0.00027256
2.87687688 0.00027256
2.87987988 0.00027256
2.88288288 0.00027256
2.88588589 0.00027256
2.88888889 0.00027256
2.89189189 0.00027256
2.89489489 0.00027256
2.89789790 0.00027256
2.90090090 0.00027256
2.90390390 0.00027256
2.90690691 0.00027256
2.90990991 0.00027256
2.91291291 0.00027256
2.91591592 0.00027256
2.91891892 0.00027256
2.92192192 0.00027256
2.92492492 0.00027256
2.92792793 0.00027256
2.93093093 0.00027256
2.93393393 0.00027256
2.93693694 0.00027256
2.93993994 0.00027256
2.94294294 0.00027256
2.94594595 0.00027256
2.94894895 0.00027256
2.95195195 0.00027256
2.95495495 0.00027256
2.95795796 0.00027256
2.96096096 0.00027256
2.96396396 0.00027256
2.96696697 0.00027256
2.96996997 0.00027256
2.97297297 0.00027256
2.97597598 0.00027256
2.97897898 0.00027256
2.98198198 0.00027256
2.98498498 0.00027256
2.98798799 0.00027256
2.99099099 0.00027256
2.99399399 0.00027256
2.99699700 0.00027256
3.00000000 0.00027256
