# Vg      Vsd      Conductance
0.06060606 0.83333333 0.00023997
0.06060606 0.85858586 0.00024152
0.06060606 0.88383838 0.00024265
0.06060606 0.90909091 0.00024433
0.06060606 0.93434343 0.00024815
0.06060606 0.95959596 0.00025791
0.06060606 0.98484848 0.00028227
0.06060606 1.01010101 0.00033180
0.06060606 1.03535354 0.00039331
0.06060606 1.06060606 0.00043637
0.06060606 1.08585859 0.00045865
0.06060606 1.11111111 0.00046930
0.06060606 1.13636364 0.00047388
0.06060606 1.16161616 0.00047476
0.06060606 1.18686869 0.00047251
0.06060606 1.21212121 0.00047169
0.06060606 1.23737374 0.00049173
0.06060606 1.26262626 0.00054054
0.06060606 1.28787879 0.00060207
0.06060606 1.31313131 0.00063934
0.06060606 1.33838384 0.00063295
0.06060606 1.36363636 0.00059305
0.06060606 1.38888889 0.00055118
0.06060606 1.41414141 0.00048680
0.06060606 1.43939394 0.00032872
0.06060606 1.46464646 0.00015280
0.06060606 1.48989899 0.00005991
0.06060606 1.51515152 0.00002270
0.06060606 1.54040404 0.00000855
0.06060606 1.56565657 0.00000322
0.06060606 1.59090909 0.00000121
0.06060606 1.61616162 0.00000046
0.06060606 1.64141414 0.00000017
0.06060606 1.66666667 0.00000006
0.06060606 1.69191919 0.00000002
0.06060606 1.71717172 0.00000001
0.06060606 1.74242424 0.00000000
0.06060606 1.76767677 0.00000000
0.06060606 1.79292929 0.00000000
0.06060606 1.81818182 0.00000000
0.06060606 1.84343434 0.00000000
0.06060606 1.86868687 0.00000000
0.06060606 1.89393939 0.00000000
0.06060606 1.91919192 0.00000000
0.06060606 1.94444444 0.00000000
0.06060606 1.96969697 0.00000000
0.06060606 1.99494949 0.00000000
0.06060606 2.02020202 0.00000000
0.06060606 2.04545455 0.00000000
0.06060606 2.07070707 0.00000000
0.06060606 2.09595960 0.00000000
0.06060606 2.12121212 0.00000000
0.06060606 2.14646465 0.00000000
0.06060606 2.17171717 0.00000000
0.06060606 2.19696970 0.00000000
0.06060606 2.22222222 0.00000000
0.06060606 2.24747475 0.00000000
0.06060606 2.27272727 0.00000000
0.06060606 2.29797980 0.00000000
0.06060606 2.32323232 0.00000000
0.06060606 2.34848485 0.00000000
0.06060606 2.37373737 0.00000000
0.06060606 2.39898990 0.00000000
0.06060606 2.42424242 0.00000000
0.06060606 2.44949495 0.00000000
0.06060606 2.47474747 0.00000000
0.06060606 2.50000000 0.00000000

0.09090909 0.00000000 0.00010769
0.09090909 0.02525253 0.00016068
0.09090909 0.05050505 0.00020166
0.09090909 0.07575758 0.00022450
0.09090909 0.10101010 0.00023460
0.09090909 0.12626263 0.00023883
0.09090909 0.15151515 0.00024064
0.09090909 0.17676768 0.00024145
0.09090909 0.20202020 0.00024185
0.09090909 0.22727273 0.00024205
0.09090909 0.25252525 0.00024214
0.09090909 0.27777778 0.00024213
0.09090909 0.30303030 0.00024193
0.09090909 0.32828283 0.00024128
0.09090909 0.35353535 0.00023962
0.09090909 0.37878788 0.00023687
0.09090909 0.40404040 0.00023514
0.09090909 0.42929293 0.00023513
0.09090909 0.45454545 0.00023792
0.09090909 0.47979798 0.00024059
0.09090909 0.50505051 0.00024180
0.09090909 0.53030303 0.00024222
0.09090909 0.55555556 0.00024228
0.09090909 0.58080808 0.00024203
0.09090909 0.60606061 0.00024128
0.09090909 0.63131313 0.00023940
0.09090909 0.65656566 0.00023494
0.09090909 0.68181818 0.00022599
0.09090909 0.70707071 0.00021723
0.09090909 0.73232323 0.00022216
0.09090909 0.75757576 0.00023194
0.09090909 0.78282828 0.00023766
0.09090909 0.80808081 0.00024036
0.09090909 0.83333333 0.00024175
0.09090909 0.85858586 0.00024291
0.09090909 0.88383838 0.00024484
0.09090909 0.90909091 0.00024944
0.09090909 0.93434343 0.00026122
0.09090909 0.95959596 0.00029001
0.09090909 0.98484848 0.00034426
0.09090909 1.01010101 0.00040392
0.09090909 1.03535354 0.00044217
0.09090909 1.06060606 0.00046148
0.09090909 1.08585859 0.00047059
0.09090909 1.11111111 0.00047432
0.09090909 1.13636364 0.00047455
0.09090909 1.16161616 0.00047184
0.09090909 1.18686869 0.00047332
0.09090909 1.21212121 0.00049941
0.09090909 1.23737374 0.00055286
0.09090909 1.26262626 0.00061254
0.09090909 1.28787879 0.00064168
0.09090909 1.31313131 0.00062670
0.09090909 1.33838384 0.00058415
0.09090909 1.36363636 0.00054249
0.09090909 1.38888889 0.00046364
0.09090909 1.41414141 0.00028939
0.09090909 1.43939394 0.00012756
0.09090909 1.46464646 0.00004939
0.09090909 1.48989899 0.00001867
0.09090909 1.51515152 0.00000704
0.09090909 1.54040404 0.00000265
0.09090909 1.56565657 0.00000100
0.09090909 1.59090909 0.00000038
0.09090909 1.61616162 0.00000014
0.09090909 1.64141414 0.00000005
0.09090909 1.66666667 0.00000002
0.09090909 1.69191919 0.00000001
0.09090909 1.71717172 0.00000000
0.09090909 1.74242424 0.00000000
0.09090909 1.76767677 0.00000000
0.09090909 1.79292929 0.00000000
0.09090909 1.81818182 0.00000000
0.09090909 1.84343434 0.00000000
0.09090909 1.86868687 0.00000000
0.09090909 1.89393939 0.00000000
0.09090909 1.91919192 0.00000000
0.09090909 1.94444444 0.00000000
0.09090909 1.96969697 0.00000000
0.09090909 1.99494949 0.00000000
0.09090909 2.02020202 0.00000000
0.09090909 2.04545455 0.00000000
0.09090909 2.07070707 0.00000000
0.09090909 2.09595960 0.00000000
0.09090909 2.12121212 0.00000000
0.09090909 2.14646465 0.00000000
0.09090909 2.17171717 0.00000000
0.09090909 2.19696970 0.00000000
0.09090909 2.22222222 0.00000000
0.09090909 2.24747475 0.00000000
0.09090909 2.27272727 0.00000000
0.09090909 2.29797980 0.00000000
0.09090909 2.32323232 0.00000000
0.09090909 2.34848485 0.00000000
0.09090909 2.37373737 0.00000000
0.09090909 2.39898990 0.00000000
0.09090909 2.42424242 0.00000000
0.09090909 2.44949495 0.00000000
0.09090909 2.47474747 0.00000000
0.09090909 2.50000000 0.00000000

0.12121212 0.00000000 0.00017016
0.12121212 0.02525253 0.00020765
0.12121212 0.05050505 0.00022727
0.12121212 0.07575758 0.00023576
0.12121212 0.10101010 0.00023932
0.12121212 0.12626263 0.00024086
0.12121212 0.15151515 0.00024155
0.12121212 0.17676768 0.00024190
0.12121212 0.20202020 0.00024208
0.12121212 0.22727273 0.00024215
0.12121212 0.25252525 0.00024211
0.12121212 0.27777778 0.00024185
0.12121212 0.30303030 0.00024105
0.12121212 0.32828283 0.00023912
0.12121212 0.35353535 0.00023637
0.12121212 0.37878788 0.00023499
0.12121212 0.40404040 0.00023548
0.12121212 0.42929293 0.00023858
0.12121212 0.45454545 0.00024093
0.12121212 0.47979798 0.00024193
0.12121212 0.50505051 0.00024226
0.12121212 0.53030303 0.00024225
0.12121212 0.55555556 0.00024193
0.12121212 0.58080808 0.00024102
0.12121212 0.60606061 0.00023878
0.12121212 0.63131313 0.00023355
0.12121212 0.65656566 0.00022378
0.12121212 0.68181818 0.00021699
0.12121212 0.70707071 0.00022426
0.12121212 0.73232323 0.00023343
0.12121212 0.75757576 0.00023838
0.12121212 0.78282828 0.00024070
0.12121212 0.80808081 0.00024197
0.12121212 0.83333333 0.00024319
0.12121212 0.85858586 0.00024546
0.12121212 0.88383838 0.00025100
0.12121212 0.90909091 0.00026520
0.12121212 0.93434343 0.00029889
0.12121212 0.95959596 0.00035698
0.12121212 0.98484848 0.00041354
0.12121212 1.01010101 0.00044721
0.12121212 1.03535354 0.00046391
0.12121212 1.06060606 0.00047167
0.12121212 1.08585859 0.00047463
0.12121212 1.11111111 0.00047420
0.12121212 1.13636364 0.00047126
0.12121212 1.16161616 0.00047604
0.12121212 1.18686869 0.00050820
0.12121212 1.21212121 0.00056553
0.12121212 1.23737374 0.00062166
0.12121212 1.26262626 0.00064218
0.12121212 1.28787879 0.00061925
0.12121212 1.31313131 0.00057555
0.12121212 1.33838384 0.00053254
0.12121212 1.36363636 0.00043576
0.12121212 1.38888889 0.00025094
0.12121212 1.41414141 0.00010602
0.12121212 1.43939394 0.00004069
0.12121212 1.46464646 0.00001536
0.12121212 1.48989899 0.00000579
0.12121212 1.51515152 0.00000218
0.12121212 1.54040404 0.00000082
0.12121212 1.56565657 0.00000031
0.12121212 1.59090909 0.00000012
0.12121212 1.61616162 0.00000004
0.12121212 1.64141414 0.00000002
0.12121212 1.66666667 0.00000001
0.12121212 1.69191919 0.00000000
0.12121212 1.71717172 0.00000000
0.12121212 1.74242424 0.00000000
0.12121212 1.76767677 0.00000000
0.12121212 1.79292929 0.00000000
0.12121212 1.81818182 0.00000000
0.12121212 1.84343434 0.00000000
0.12121212 1.86868687 0.00000000
0.12121212 1.89393939 0.00000000
0.12121212 1.91919192 0.00000000
0.12121212 1.94444444 0.00000000
0.12121212 1.96969697 0.00000000
0.12121212 1.99494949 0.00000000
0.12121212 2.02020202 0.00000000
0.12121212 2.04545455 0.00000000
0.12121212 2.07070707 0.00000000
0.12121212 2.09595960 0.00000000
0.12121212 2.12121212 0.00000000
0.12121212 2.14646465 0.00000000
0.12121212 2.17171717 0.00000000
0.12121212 2.19696970 0.00000000
0.12121212 2.22222222 0.00000000
0.12121212 2.24747475 0.00000000
0.12121212 2.27272727 0.00000000
0.12121212 2.29797980 0.00000000
0.12121212 2.32323232 0.00000000
0.12121212 2.34848485 0.00000000
0.12121212 2.37373737 0.00000000
0.12121212 2.39898990 0.00000000
0.12121212 2.42424242 0.00000000
0.12121212 2.44949495 0.00000000
0.12121212 2.47474747 0.00000000
0.12121212 2.50000000 0.00000000

0.15151515 0.00000000 0.00021287
0.15151515 0.02525253 0.00022960
0.15151515 0.05050505 0.00023674
0.15151515 0.07575758 0.00023974
0.15151515 0.10101010 0.00024104
0.15151515 0.12626263 0.00024164
0.15151515 0.15151515 0.00024194
0.15151515 0.17676768 0.00024210
0.15151515 0.20202020 0.00024216
0.15151515 0.22727273 0.00024209
0.15151515 0.25252525 0.00024175
0.15151515 0.27777778 0.00024078
0.15151515 0.30303030 0.00023858
0.15151515 0.32828283 0.00023595
0.15151515 0.35353535 0.00023488
0.15151515 0.37878788 0.00023597
0.15151515 0.40404040 0.00023918
0.15151515 0.42929293 0.00024121
0.15151515 0.45454545 0.00024203
0.15151515 0.47979798 0.00024228
0.15151515 0.50505051 0.00024222
0.15151515 0.53030303 0.00024181
0.15151515 0.55555556 0.00024072
0.15151515 0.58080808 0.00023804
0.15151515 0.60606061 0.00023195
0.15151515 0.63131313 0.00022163
0.15151515 0.65656566 0.00021746
0.15151515 0.68181818 0.00022637
0.15151515 0.70707071 0.00023473
0.15151515 0.73232323 0.00023899
0.15151515 0.75757576 0.00024100
0.15151515 0.78282828 0.00024219
0.15151515 0.80808081 0.00024352
0.15151515 0.83333333 0.00024620
0.15151515 0.85858586 0.00025288
0.15151515 0.88383838 0.00026996
0.15151515 0.90909091 0.00030889
0.15151515 0.93434343 0.00036961
0.15151515 0.95959596 0.00042214
0.15151515 0.98484848 0.00045158
0.15151515 1.01010101 0.00046600
0.15151515 1.03535354 0.00047256
0.15151515 1.06060606 0.00047480
0.15151515 1.08585859 0.00047373
0.15151515 1.11111111 0.00047090
0.15151515 1.13636364 0.00048000
0.15151515 1.16161616 0.00051805
0.15151515 1.18686869 0.00057822
0.15151515 1.21212121 0.00062925
0.15151515 1.23737374 0.00064085
0.15151515 1.26262626 0.00061091
0.15151515 1.28787879 0.00056730
0.15151515 1.31313131 0.00052052
0.15151515 1.33838384 0.00040338
0.15151515 1.36363636 0.00021479
0.15151515 1.38888889 0.00008783
0.15151515 1.41414141 0.00003351
0.15151515 1.43939394 0.00001264
0.15151515 1.46464646 0.00000476
0.15151515 1.48989899 0.00000179
0.15151515 1.51515152 0.00000067
0.15151515 1.54040404 0.00000025
0.15151515 1.56565657 0.00000010
0.15151515 1.59090909 0.00000004
0.15151515 1.61616162 0.00000001
0.15151515 1.64141414 0.00000001
0.15151515 1.66666667 0.00000000
0.15151515 1.69191919 0.00000000
0.15151515 1.71717172 0.00000000
0.15151515 1.74242424 0.00000000
0.15151515 1.76767677 0.00000000
0.15151515 1.79292929 0.00000000
0.15151515 1.81818182 0.00000000
0.15151515 1.84343434 0.00000000
0.15151515 1.86868687 0.00000000
0.15151515 1.89393939 0.00000000
0.15151515 1.91919192 0.00000000
0.15151515 1.94444444 0.00000000
0.15151515 1.96969697 0.00000000
0.15151515 1.99494949 0.00000000
0.15151515 2.02020202 0.00000000
0.15151515 2.04545455 0.00000000
0.15151515 2.07070707 0.00000000
0.15151515 2.09595960 0.00000000
0.15151515 2.12121212 0.00000000
0.15151515 2.14646465 0.00000000
0.15151515 2.17171717 0.00000000
0.15151515 2.19696970 0.00000000
0.15151515 2.22222222 0.00000000
0.15151515 2.24747475 0.00000000
0.15151515 2.27272727 0.00000000
0.15151515 2.29797980 0.00000000
0.15151515 2.32323232 0.00000000
0.15151515 2.34848485 0.00000000
0.15151515 2.37373737 0.00000000
0.15151515 2.39898990 0.00000000
0.15151515 2.42424242 0.00000000
0.15151515 2.44949495 0.00000000
0.15151515 2.47474747 0.00000000
0.15151515 2.50000000 0.00000000

0.18181818 0.00000000 0.00023157
0.18181818 0.02525253 0.00023756
0.18181818 0.05050505 0.00024009
0.18181818 0.07575758 0.00024120
0.18181818 0.10101010 0.00024172
0.18181818 0.12626263 0.00024198
0.18181818 0.15151515 0.00024212
0.18181818 0.17676768 0.00024215
0.18181818 0.20202020 0.00024205
0.18181818 0.22727273 0.00024162
0.18181818 0.25252525 0.00024045
0.18181818 0.27777778 0.00023800
0.18181818 0.30303030 0.00023561
0.18181818 0.32828283 0.00023485
0.18181818 0.35353535 0.00023657
0.18181818 0.37878788 0.00023972
0.18181818 0.40404040 0.00024144
0.18181818 0.42929293 0.00024211
0.18181818 0.45454545 0.00024229
0.18181818 0.47979798 0.00024217
0.18181818 0.50505051 0.00024167
0.18181818 0.53030303 0.00024035
0.18181818 0.55555556 0.00023717
0.18181818 0.58080808 0.00023014
0.18181818 0.60606061 0.00021970
0.18181818 0.63131313 0.00021858
0.18181818 0.65656566 0.00022839
0.18181818 0.68181818 0.00023586
0.18181818 0.70707071 0.00023951
0.18181818 0.73232323 0.00024127
0.18181818 0.75757576 0.00024242
0.18181818 0.78282828 0.00024389
0.18181818 0.80808081 0.00024708
0.18181818 0.83333333 0.00025516
0.18181818 0.85858586 0.00027561
0.18181818 0.88383838 0.00031992
0.18181818 0.90909091 0.00038180
0.18181818 0.93434343 0.00042972
0.18181818 0.95959596 0.00045537
0.18181818 0.98484848 0.00046778
0.18181818 1.01010101 0.00047330
0.18181818 1.03535354 0.00047485
0.18181818 1.06060606 0.00047316
0.18181818 1.08585859 0.00047097
0.18181818 1.11111111 0.00048524
0.18181818 1.13636364 0.00052887
0.18181818 1.16161616 0.00059052
0.18181818 1.18686869 0.00063517
0.18181818 1.21212121 0.00063773
0.18181818 1.23737374 0.00060207
0.18181818 1.26262626 0.00055928
0.18181818 1.28787879 0.00050555
0.18181818 1.31313131 0.00036726
0.18181818 1.33838384 0.00018191
0.18181818 1.36363636 0.00007260
0.18181818 1.38888889 0.00002758
0.18181818 1.41414141 0.00001040
0.18181818 1.43939394 0.00000392
0.18181818 1.46464646 0.00000147
0.18181818 1.48989899 0.00000056
0.18181818 1.51515152 0.00000021
0.18181818 1.54040404 0.00000008
0.18181818 1.56565657 0.00000003
0.18181818 1.59090909 0.00000001
0.18181818 1.61616162 0.00000000
0.18181818 1.64141414 0.00000000
0.18181818 1.66666667 0.00000000
0.18181818 1.69191919 0.00000000
0.18181818 1.71717172 0.00000000
0.18181818 1.74242424 0.00000000
0.18181818 1.76767677 0.00000000
0.18181818 1.79292929 0.00000000
0.18181818 1.81818182 0.00000000
0.18181818 1.84343434 0.00000000
0.18181818 1.86868687 0.00000000
0.18181818 1.89393939 0.00000000
0.18181818 1.91919192 0.00000000
0.18181818 1.94444444 0.00000000
0.18181818 1.96969697 0.00000000
0.18181818 1.99494949 0.00000000
0.18181818 2.02020202 0.00000000
0.18181818 2.04545455 0.00000000
0.18181818 2.07070707 0.00000000
0.18181818 2.09595960 0.00000000
0.18181818 2.12121212 0.00000000
0.18181818 2.14646465 0.00000000
0.18181818 2.17171717 0.00000000
0.18181818 2.19696970 0.00000000
0.18181818 2.22222222 0.00000000
0.18181818 2.24747475 0.00000000
0.18181818 2.27272727 0.00000000
0.18181818 2.29797980 0.00000000
0.18181818 2.32323232 0.00000000
0.18181818 2.34848485 0.00000000
0.18181818 2.37373737 0.00000000
0.18181818 2.39898990 0.00000000
0.18181818 2.42424242 0.00000000
0.18181818 2.44949495 0.00000000
0.18181818 2.47474747 0.00000000
0.18181818 2.50000000 0.00000000

0.21212121 0.00000000 0.00023825
0.21212121 0.02525253 0.00024039
0.21212121 0.05050505 0.00024133
0.21212121 0.07575758 0.00024179
0.21212121 0.10101010 0.00024202
0.21212121 0.12626263 0.00024213
0.21212121 0.15151515 0.00024215
0.21212121 0.17676768 0.00024200
0.21212121 0.20202020 0.00024147
0.21212121 0.22727273 0.00024007
0.21212121 0.25252525 0.00023742
0.21212121 0.27777778 0.00023535
0.21212121 0.30303030 0.00023492
0.21212121 0.32828283 0.00023724
0.21212121 0.35353535 0.00024019
0.21212121 0.37878788 0.00024164
0.21212121 0.40404040 0.00024218
0.21212121 0.42929293 0.00024229
0.21212121 0.45454545 0.00024211
0.21212121 0.47979798 0.00024149
0.21212121 0.50505051 0.00023992
0.21212121 0.53030303 0.00023614
0.21212121 0.55555556 0.00022814
0.21212121 0.58080808 0.00021817
0.21212121 0.60606061 0.00022021
0.21212121 0.63131313 0.00023026
0.21212121 0.65656566 0.00023683
0.21212121 0.68181818 0.00023997
0.21212121 0.70707071 0.00024152
0.21212121 0.73232323 0.00024265
0.21212121 0.75757576 0.00024433
0.21212121 0.78282828 0.00024815
0.21212121 0.80808081 0.00025791
0.21212121 0.83333333 0.00028227
0.21212121 0.85858586 0.00033180
0.21212121 0.88383838 0.00039331
0.21212121 0.90909091 0.00043637
0.21212121 0.93434343 0.00045865
0.21212121 0.95959596 0.00046930
0.21212121 0.98484848 0.00047388
0.21212121 1.01010101 0.00047476
0.21212121 1.03535354 0.00047251
0.21212121 1.06060606 0.00047169
0.21212121 1.08585859 0.00049173
0.21212121 1.11111111 0.00054054
0.21212121 1.13636364 0.00060207
0.21212121 1.16161616 0.00063934
0.21212121 1.18686869 0.00063295
0.21212121 1.21212121 0.00059305
0.21212121 1.23737374 0.00055118
0.21212121 1.26262626 0.00048680
0.21212121 1.28787879 0.00032872
0.21212121 1.31313131 0.00015280
0.21212121 1.33838384 0.00005991
0.21212121 1.36363636 0.00002270
0.21212121 1.38888889 0.00000855
0.21212121 1.41414141 0.00000322
0.21212121 1.43939394 0.00000121
0.21212121 1.46464646 0.00000046
0.21212121 1.48989899 0.00000017
0.21212121 1.51515152 0.00000006
0.21212121 1.54040404 0.00000002
0.21212121 1.56565657 0.00000001
0.21212121 1.59090909 0.00000000
0.21212121 1.61616162 0.00000000
0.21212121 1.64141414 0.00000000
0.21212121 1.66666667 0.00000000
0.21212121 1.69191919 0.00000000
0.21212121 1.71717172 0.00000000
0.21212121 1.74242424 0.00000000
0.21212121 1.76767677 0.00000000
0.21212121 1.79292929 0.00000000
0.21212121 1.81818182 0.00000000
0.21212121 1.84343434 0.00000000
