# Vg      Vsd      Conductance
-0.50000000 -0.16889632 0.00022912
-0.50000000 -0.16555184 0.00040182
-0.50000000 -0.16220736 0.00046950
-0.50000000 -0.15886288 0.00036223
-0.50000000 -0.15551839 0.00026914
-0.50000000 -0.15217391 0.00017560
-0.50000000 -0.14882943 0.00011220
-0.50000000 -0.14548495 0.00010672
-0.50000000 -0.14214047 0.00017230
-0.50000000 -0.13879599 0.00026965
-0.50000000 -0.13545151 0.00035882
-0.50000000 -0.13210702 0.00047049
-0.50000000 -0.12876254 0.00042578
-0.50000000 -0.12541806 0.00028744
-0.50000000 -0.12207358 0.00017436
-0.50000000 -0.11872910 0.00011256
-0.50000000 -0.11538462 0.00012205
-0.50000000 -0.11204013 0.00019646
-0.50000000 -0.10869565 0.00028711
-0.50000000 -0.10535117 0.00039048
-0.50000000 -0.10200669 0.00046705
-0.50000000 -0.09866221 0.00039211
-0.50000000 -0.09531773 0.00025643
-0.50000000 -0.09197324 0.00015905
-0.50000000 -0.08862876 0.00012077
-0.50000000 -0.08528428 0.00014425
-0.50000000 -0.08193980 0.00023513
-0.50000000 -0.07859532 0.00038093
-0.50000000 -0.07525084 0.00050999
-0.50000000 -0.07190635 0.00051221
-0.50000000 -0.06856187 0.00038563
-0.50000000 -0.06521739 0.00023934
-0.50000000 -0.06187291 0.00014934
-0.50000000 -0.05852843 0.00012268
-0.50000000 -0.05518395 0.00015907
-0.50000000 -0.05183946 0.00026389
-0.50000000 -0.04849498 0.00041539
-0.50000000 -0.04515050 0.00052621
-0.50000000 -0.04180602 0.00049681
-0.50000000 -0.03846154 0.00035541
-0.50000000 -0.03511706 0.00021592
-0.50000000 -0.03177258 0.00013901
-0.50000000 -0.02842809 0.00012566
-0.50000000 -0.02508361 0.00017550
-0.50000000 -0.02173913 0.00029341
-0.50000000 -0.01839465 0.00044632
-0.50000000 -0.01505017 0.00053369
-0.50000000 -0.01170569 0.00047444
-0.50000000 -0.00836120 0.00032423
-0.50000000 -0.00501672 0.00019454
-0.50000000 -0.00167224 0.00013113
-0.50000000 0.00167224 0.00013115
-0.50000000 0.00501672 0.00019462
-0.50000000 0.00836120 0.00032443
-0.50000000 0.01170569 0.00047483
-0.50000000 0.01505017 0.00053424
-0.50000000 0.01839465 0.00044688
-0.50000000 0.02173913 0.00029385
-0.50000000 0.02508361 0.00017581
-0.50000000 0.02842809 0.00012592
-0.50000000 0.03177258 0.00013934
-0.50000000 0.03511706 0.00021651
-0.50000000 0.03846154 0.00035649
-0.50000000 0.04180602 0.00049849
-0.50000000 0.04515050 0.00052817
-0.50000000 0.04849498 0.00041710
-0.50000000 0.05183946 0.00026509
-0.50000000 0.05518395 0.00015987
-0.50000000 0.05852843 0.00012339
-0.50000000 0.06187291 0.00015032
-0.50000000 0.06521739 0.00024112
-0.50000000 0.06856187 0.00038883
-0.50000000 0.07190635 0.00051700
-0.50000000 0.07525084 0.00051541
-0.50000000 0.07859532 0.00038558
-0.50000000 0.08193980 0.00023849
-0.50000000 0.08528428 0.00014677
-0.50000000 0.08862876 0.00012355
-0.50000000 0.09197324 0.00016414
-0.50000000 0.09531773 0.00026823
-0.50000000 0.09866221 0.00042051
-0.50000000 0.10200669 0.00052948
-0.50000000 0.10535117 0.00049667
-0.50000000 0.10869565 0.00035347
-0.50000000 0.11204013 0.00021441
-0.50000000 0.11538462 0.00013647
-0.50000000 0.11872910 0.00012642
